Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),SPACE1-1:Zone Operative Temperature [C](Hourly),SPACE2-1:Zone Operative Temperature [C](Hourly),SPACE3-1:Zone Operative Temperature [C](Hourly),SPACE4-1:Zone Operative Temperature [C](Hourly),SPACE5-1:Zone Operative Temperature [C](Hourly)
 11/09  12:00:00,15.375,21.140419,21.63902196,21.38672755,21.37674277,21.26112142
 11/09  13:00:00,15.6,22.14787533,22.51022099,21.9889264,21.97727484,21.39858099
 11/09  14:00:00,15.9125,23.37715991,22.92080977,22.4535859,22.50809959,21.64397615
 11/09  15:00:00,15.7875,23.26966872,22.80168484,22.43636223,22.63260187,21.87372188
 11/09  16:00:00,15.6,23.08519769,22.53454082,22.2411078,22.64584856,21.9832338
 11/09  17:00:00,15.225,22.340775,22.01482441,21.76798376,22.12830898,21.98524618
 11/09  18:00:00,15,21.72022205,21.56932183,21.39869409,21.62507621,21.88709965
 11/09  19:00:00,14.625,21.34687258,21.26954755,21.14848595,21.29922106,21.76329989
 11/09  20:00:00,14.4,21.10355637,21.06334919,20.97638892,21.07832946,21.63741381
 11/09  21:00:00,14.4,20.9513041,20.92641916,20.86440441,20.93295704,21.52834444
 11/09  22:00:00,14.4,20.83529742,20.82019296,20.77497278,20.8224121,21.44047679
 11/09  23:00:00,14.4,20.75172778,20.74261907,20.71171087,20.74339377,21.36909931
 11/09  24:00:00,14.0875,20.68930918,20.67703753,20.65277263,20.67868541,21.31212906
 11/10  01:00:00,13.525,20.56376924,20.57887255,20.5427227,20.57980637,21.26342224
 11/10  02:00:00,12.9875,20.47097286,20.49209196,20.45218382,20.48915769,21.2149157
 11/10  03:00:00,12.8,20.444292,20.44904005,20.42212036,20.44578703,21.17447529
 11/10  04:00:00,12.8,20.41465276,20.41184974,20.39203371,20.41128106,21.14153306
 11/10  05:00:00,12.8,20.37496225,20.37449113,20.35642573,20.3720378,21.11209937
 11/10  06:00:00,12.425,20.33249808,20.33416379,20.31572617,20.33113059,21.08523143
 11/10  07:00:00,12.2,20.29858811,20.2975441,20.27878876,20.29729146,21.06104796
 11/10  08:00:00,12.575,20.31641277,20.32839512,20.3165921,20.32888149,21.04202635
 11/10  09:00:00,12.8,20.40721732,20.47661185,20.47262747,20.47060236,21.03949259
 11/10  10:00:00,12.8,20.59536294,20.86715064,20.79657702,20.79740476,21.07505772
 11/10  11:00:00,13.4875,20.8050975,21.2086003,21.09763189,21.10071646,21.14499886
 11/10  12:00:00,14.5875,21.28964468,21.92901107,21.65633949,21.63634673,21.25138175
 11/10  13:00:00,16.375,21.98805806,22.57332158,22.15912014,22.15188913,21.41911788
 11/10  14:00:00,16.5125,23.21674518,22.90212822,22.54470018,22.59578231,21.63110972
 11/10  15:00:00,16.475,24.61827889,22.94190902,22.63218538,23.04801541,21.90739538
 11/10  16:00:00,16.7,25.29196046,22.82260407,22.50273423,23.55256196,22.1495362
 11/10  17:00:00,16.0125,23.99610286,22.31749839,21.99414593,22.96532078,22.22667648
 11/10  18:00:00,15.6,22.68030361,21.7937736,21.55040801,22.16854702,22.11711893
 11/10  19:00:00,15.225,21.90369238,21.4435249,21.27807908,21.6483191,21.95032921
 11/10  20:00:00,15,21.43706087,21.1807403,21.06280535,21.29509943,21.7878473
 11/10  21:00:00,14.625,21.15632618,21.00847758,20.9260335,21.07248351,21.6400486
 11/10  22:00:00,14.0875,20.94484829,20.86360113,20.79971723,20.89869399,21.51844252
 11/10  23:00:00,14.2125,20.80875065,20.75672891,20.70806159,20.77510736,21.4219483
 11/10  24:00:00,14.4,20.72856141,20.69742803,20.66359255,20.70673068,21.34542366
 11/11  01:00:00,14.4,20.66229711,20.64393424,20.61605475,20.64840121,21.28711961
 11/11  02:00:00,14.0875,20.60892877,20.59784682,20.57144682,20.59872903,21.24368342
 11/11  03:00:00,13.9,20.55843838,20.55352643,20.52775907,20.55254842,21.21017484
 11/11  04:00:00,13.9,20.51912202,20.51857789,20.496891,20.51748705,21.18250279
 11/11  05:00:00,13.525,20.36903483,20.4278388,20.36839354,20.42771264,21.15793426
 11/11  06:00:00,13.3,20.23489743,20.34164542,20.25166377,20.34180964,21.12971809
 11/11  07:00:00,13.3,20.21525084,20.32559345,20.23693244,20.31967045,21.1065097
 11/11  08:00:00,13.3,20.29737909,20.48937303,20.36346162,20.42910514,21.10119131
 11/11  09:00:00,13.675,20.45822412,20.87632831,20.62420277,20.68724866,21.12603909
 11/11  10:00:00,14.2125,20.62832366,21.07653358,20.85963687,20.91963065,21.17819099
 11/11  11:00:00,14.4,20.62419153,21.09189137,20.88961588,20.99674741,21.22115395
 11/11  12:00:00,15.15,20.80516252,21.36529026,21.13899942,21.25049137,21.26342262
 11/11  13:00:00,15.6,21.32873001,21.85966031,21.68836647,21.71522668,21.33890369
 11/11  14:00:00,15.225,21.67375577,22.11141007,21.97498195,22.00796267,21.45158947
 11/11  15:00:00,15.375,21.76970488,22.09512414,21.97254153,22.07333295,21.55842183
 11/11  16:00:00,15.225,22.07914872,21.97328366,21.85452354,22.16377746,21.63908141
 11/11  17:00:00,14.625,21.82921629,21.60681627,21.47596317,21.86015986,21.68092268
