Date/Time,Outside temperature,WEST ZONE:Zone Operative Temperature [C](Hourly),EAST ZONE:Zone Operative Temperature [C](Hourly),West zone heating power,East zone heating power,WEST ZONE:Zone Air System Sensible Heating Rate [W](Hourly),EAST ZONE:Zone Air System Sensible Heating Rate [W](Hourly),WEST PLENUM:Zone Air System Sensible Cooling Rate [W](Hourly),EAST PLENUM:Zone Air System Sensible Cooling Rate [W](Hourly)
 01/04  12:00:00,10,18.44670607,18.49027571,18.72646664,15.44582374,208.141679,220.9683196,189.4152123,205.5224959
 01/04  13:00:00,10.6,18.66665931,18.7314338,30.0062491,25.17904612,164.6496791,168.1329888,134.64343,142.9539427
 01/04  14:00:00,10.6,19.0363454,19.12401484,31.45597005,27.47263212,135.0158594,133.2601819,103.5598893,105.7875498
 01/04  15:00:00,10,18.8540134,18.94982608,96.92883554,99.98038216,156.6209813,154.709347,59.69214573,54.72896481
 01/04  16:00:00,10.6,18.78698674,18.88351211,126.1266993,133.5830331,200.7657462,203.1670388,74.63904693,69.58400568
 01/04  17:00:00,10,18.45490196,18.53617116,189.1701122,208.5294085,268.0740122,280.4311101,78.90389999,71.90170161
 01/04  18:00:00,10,18.26621392,18.32908423,219.1377733,246.4759913,336.1942142,361.0061012,117.0564408,114.5301099
 01/04  19:00:00,9.4,18.1186753,18.16140213,194.3261678,220.663831,353.65595,384.6860262,159.3297822,164.0221952
 01/04  20:00:00,9.4,18.01051531,18.03476479,167.121169,190.8385396,351.9422768,385.9758841,184.8211078,195.1373445
 01/04  21:00:00,8.9,18.00019131,18.01270359,136.8558717,156.2717989,339.376205,373.8234025,202.5203333,217.5516036
 01/04  22:00:00,8.9,17.97313264,17.97668321,121.7224429,137.6206289,328.6585616,362.5001159,206.9361187,224.879487
 01/04  23:00:00,7.2,17.92280931,17.91963714,126.8503572,141.7209377,334.6698441,369.1815664,207.8194869,227.4606287
 01/04  24:00:00,8.3,17.89770917,17.89054452,127.5662513,141.4382358,340.7224864,375.9249796,213.1562351,234.4867438
 01/05  01:00:00,7.8,17.80937315,17.79821045,136.3194085,150.2613917,353.2545466,389.7236498,216.9351381,239.4622581
 01/05  02:00:00,7.8,17.73186953,17.71818488,144.5755628,158.7280161,371.0262127,409.2590362,226.4506499,250.5310201
 01/05  03:00:00,5,17.47073574,17.45085756,185.16192,203.1804768,422.3373803,465.9645476,237.1754604,262.7840708
 01/05  04:00:00,3.9,17.36336058,17.34180107,187.9119189,205.8645617,458.1009248,505.5873406,270.1890059,299.7227789
 01/05  05:00:00,4.4,17.18040699,17.15558776,179.6641477,196.5286221,475.8224252,525.3297637,296.1582775,328.8011416
 01/05  06:00:00,3.9,17.03699946,17.01056635,177.7984468,194.1561736,498.7453349,550.618568,320.9468882,356.4623945
 01/05  07:00:00,6.1,17.03458667,17.01021368,142.7098412,155.0716532,488.7989585,539.4783254,346.0891173,384.4066723
 01/05  08:00:00,6.7,17.03886836,17.01749227,112.3412151,121.0757431,463.4713783,510.9490417,351.1301632,389.8732987
 01/05  09:00:00,7.2,17.13911156,17.12383192,86.2506355,91.794878,433.8476034,477.321669,347.5969679,385.526791
 01/05  10:00:00,7.2,17.28864629,17.28286628,60.07691038,61.96178679,393.5184146,431.2199441,333.4415042,369.2581573
 01/05  11:00:00,8.3,17.61294202,17.62728612,12.54135336,7.083504156,323.5112805,350.5615175,310.9699271,343.4780134
 01/05  12:00:00,8.9,17.90424908,17.9462667,-2.795247725,-13.33535845,264.7355226,280.167236,267.5307704,293.5025944
 01/05  13:00:00,9.4,18.26331724,18.33773763,25.32148269,18.5115311,238.6556533,247.563264,213.3341706,229.0517329
 01/05  14:00:00,10.6,18.55680261,18.6695803,15.65999422,5.052075642,174.7121013,168.9023726,159.0521071,163.8502969
 01/05  15:00:00,11.1,18.60310842,18.74063658,59.83159695,54.34227439,180.3591133,171.1783703,120.5275163,116.8360959
 01/05  16:00:00,10,18.56613677,18.70928572,90.237697,91.03956267,202.414813,195.5565584,112.177116,104.5169957
 01/05  17:00:00,10.6,18.22945046,18.34886294,171.7196273,189.4000453,285.1909309,292.0118137,113.4713036,102.6117684
 01/05  18:00:00,9.4,18.1761573,18.26871902,187.308805,215.6494205,337.3089845,358.4283096,150.0001795,142.7788891
