Date/Time,Outside tempertaure,WEST ZONE:Zone Operative Temperature [C](Hourly),EAST ZONE:Zone Operative Temperature [C](Hourly),WEST ZONE:Zone Lights Total Heating Rate [W](Hourly),EAST ZONE:Zone Lights Total Heating Rate [W](Hourly),West Zone:total power (Electric Machine (such as CPU) genearated power-air system cooling),East Zone:total power (genearated power-air system cooling),WESTDATACENTER_EQUIP:ITE Total Heat Gain to Zone Rate [W](Hourly),EAST ZONE:Zone ITE Total Heat Gain to Zone Rate [W](Hourly),WEST ZONE:Zone Air System Sensible Cooling Rate [W](Hourly),EAST ZONE:Zone Air System Sensible Cooling Rate [W](Hourly),WEST PLENUM:Zone Air System Sensible Cooling Rate [W](Hourly),EAST PLENUM:Zone Air System Sensible Cooling Rate [W](Hourly)
 02/25  14:00:00,13.3,23.37986659,22.52662186,227.2,227.2,-1668.006925,-3829.277573,56469.1826,58456.68894,54840.76136,57584.86715,3296.428165,4701.099369
 02/25  15:00:00,13.3,23.4362079,22.45609901,255.6,255.6,-1317.180096,-3630.149083,57134.08258,58410.19492,55128.87696,57350.0275,3322.385716,4690.316503
 02/25  16:00:00,13.3,23.46169905,22.37742875,284,284,-1194.747292,-3618.536754,57601.57631,59397.49112,55520.35154,58180.68798,3275.972061,4835.339888
 02/25  17:00:00,12.6,23.45280752,22.28801031,284,284,-969.490673,-3381.778122,57654.48718,59413.23133,55396.0933,57981.3903,3227.884553,4813.619148
 02/25  18:00:00,11.8,23.42310739,22.17848283,14.2,14.2,-643.5349647,-2882.529271,57896.95217,58834.83227,55336.86987,57064.4035,3203.617264,4652.958044
 02/25  19:00:00,11.1,22.91866037,22.12929111,14.2,14.2,-1901.883564,-1359.663947,48348.5561,47983.26587,47194.55434,46090.66356,3055.885325,3252.266261
 02/25  20:00:00,10.9,22.73504716,22.21507967,14.2,14.2,-1013.307003,-1512.445439,49235.68092,54590.00687,47450.24859,52411.66394,2798.739329,3690.788363
 02/25  21:00:00,10.8,22.8106074,22.19964839,14.2,14.2,-579.9310043,-1392.027388,49726.50259,51134.41176,47602.63526,49109.13445,2703.798336,3417.3047
 02/25  22:00:00,10.6,22.83594196,22.17413376,14.2,14.2,-352.8843012,-1654.113295,49774.82342,53491.39856,47498.52853,51422.54048,2629.179187,3722.971371
 02/25  23:00:00,10,22.86854052,22.11625303,14.2,14.2,-85.13917219,-1400.217259,50169.78914,51768.04365,47699.64214,49658.71906,2555.286174,3509.541847
 02/25  24:00:00,9.5,22.88415724,22.06097128,14.2,14.2,89.08404818,-1228.412593,50343.64337,51718.59244,47737.38044,49450.60557,2517.178889,3496.399464
 02/26  01:00:00,8.9,22.37198169,21.96959113,14.2,14.2,-708.276132,293.5332415,35897.92888,36406.7929,34561.56089,34015.45756,2044.644122,2097.802104
 02/26  02:00:00,8,22.11219065,21.94117318,14.2,14.2,446.0348336,394.2881217,38449.22727,43087.28345,36388.0456,40566.61417,1615.14683,2126.381163
 02/26  03:00:00,7,22.16818226,21.91803657,14.2,14.2,787.9327358,556.9685253,39189.02119,41000.33367,36791.77072,38394.36564,1609.317738,2048.999506
 02/26  04:00:00,6.1,22.19447194,21.88867837,14.2,14.2,1154.73957,496.2262667,39108.85296,42536.96883,36450.9071,39832.08466,1503.206289,2208.657908
 02/26  05:00:00,5.7,22.24637655,21.87071727,14.2,14.2,1335.587674,571.4041981,39638.79318,42556.54699,36790.36661,39779.2633,1512.838895,2205.879493
 02/26  06:00:00,5.4,22.27435866,21.85040891,14.2,14.2,1394.738476,767.2300297,39849.97867,41613.49267,36982.31612,38772.09783,1472.924067,2074.164805
 02/26  07:00:00,5,22.444186,21.96009437,14.2,14.2,431.4867748,-495.2487103,52159.04737,55339.41449,48834.10569,52100.73523,2893.4549,3733.927971
 02/26  08:00:00,6.9,22.2544668,21.92877124,14.2,14.2,-299.8586847,-686.9637378,45345.87414,48163.72477,42912.1202,45377.7162,2733.61263,3472.972312
 02/26  09:00:00,8.7,22.67447134,22.21421861,14.2,14.2,-1312.71054,-2853.835672,60509.76027,65600.1883,57687.72694,63143.79561,4134.743876,5310.228364
