Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),SPACE1-1:Zone Operative Temperature [C](Hourly),SPACE2-1:Zone Operative Temperature [C](Hourly),SPACE3-1:Zone Operative Temperature [C](Hourly),SPACE4-1:Zone Operative Temperature [C](Hourly),SPACE5-1:Zone Operative Temperature [C](Hourly),space1 power input,space2 power input,space3 power input,space4 power input,space5 power input,SPACE1-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE1-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE2-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE2-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE3-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE3-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE4-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE4-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE5-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE5-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE1-1 HEATING COIL:Heating Coil Heating Rate [W](Hourly),SPACE2-1 HEATING COIL:Heating Coil Heating Rate [W](Hourly),SPACE3-1 HEATING COIL:Heating Coil Heating Rate [W](Hourly),SPACE4-1 HEATING COIL:Heating Coil Heating Rate [W](Hourly),SPACE5-1 HEATING COIL:Heating Coil Heating Rate [W](Hourly),
 04/09  02:00:00,11.1,18.57506856,18.59794428,18.54289262,18.62318582,19.14657934,-844.0686502,-374.7101715,-835.9130546,-371.2101747,-1612.684742,0,844.0686502,0,374.7101715,0,835.9130546,0,371.2101747,0,1612.684742,0,0,0,0,0,
 04/09  03:00:00,11.1,18.46566268,18.47602008,18.4333226,18.49406678,19.04881407,-831.6933749,-369.5963546,-823.7871516,-366.3634045,-1592.876627,0,831.6933749,0,369.5963546,0,823.7871516,0,366.3634045,0,1592.876627,0,0,0,0,0,
 04/09  04:00:00,10.7875,18.35871769,18.36279518,18.32442608,18.378625,18.95009453,-856.0659676,-379.1744276,-847.5202455,-375.5571428,-1638.529315,0,856.0659676,0,379.1744276,0,847.5202455,0,375.5571428,0,1638.529315,0,0,0,0,0,
 04/09  05:00:00,10.6,18.26909276,18.26028579,18.2283612,18.27581015,18.85855386,-867.2654944,-385.2543376,-858.5263952,-382.1828095,-1657.728422,0,867.2654944,0,385.2543376,0,858.5263952,0,382.1828095,0,1657.728422,0,0,0,0,0,
 04/09  06:00:00,10.6,18.2136566,18.20079289,18.1745727,18.21427628,18.80832645,-860.8396657,-382.8411282,-852.3843208,-379.9346392,-1647.272426,0,860.8396657,0,382.8411282,0,852.3843208,0,379.9346392,0,1647.272426,0,0,0,0,0,
 04/09  07:00:00,10.9125,18.53782422,18.53302595,18.55166093,18.52684804,18.90075783,-290.0196219,-146.6178617,-294.579551,-143.7663506,-1304.184308,1.765897073,591.4773343,0,274.1907955,7.264521235,598.9470714,0,272.2069312,0,1461.178202,299.6918153,127.5729338,297.1029992,128.4405805,156.993894,
 04/09  08:00:00,11.1,21.39206625,21.59641821,21.55399931,21.5377224,21.65488769,5373.448416,2372.726535,5158.119794,2468.231041,8053.548111,1958.826902,0,861.3433672,12.23851121,1958.172192,116.0369323,895.9177181,0,3082.155077,387.7068851,3414.621514,1523.621679,3315.984534,1572.313323,5359.09992,
 04/09  09:00:00,12.1625,22.10006511,22.51459561,22.28038849,22.24354799,22.15495995,3260.971632,1036.884237,2718.435504,1327.433414,4967.016916,947.5275253,0,212.2725007,0,677.5953363,0,359.2563748,0,1241.524464,0,2313.444107,824.6117367,2040.840167,968.1770396,3725.492452,
 04/09  10:00:00,13.1125,22.43587513,23.56489093,22.62563415,22.60757063,22.31272878,2252.804742,103.5936775,1822.052013,852.8495429,4161.875355,503.7652392,0,0,226.9567464,289.6847773,0,149.3959936,0,948.6913335,0,1749.039503,330.5504238,1532.367236,703.4535493,3213.184022,
 04/09  11:00:00,13.9875,22.73446591,24.53957924,22.85815719,22.85341375,22.43573649,1520.225256,-547.8696582,1345.568831,612.2904533,3499.781437,193.0951623,0,0,547.8696582,107.060637,0,54.39604418,0,718.7412558,0,1327.130094,0,1238.508194,557.8944091,2781.040181,
