period4	week	month	day	hour	ambient	t_w	t_e	hvac_w	hvac_e
72	42	11	8	19	13.3	18.9248213413	18.9586478222	135.3967058767	148.855832838
72	42	11	8	20	13.3	18.9060759788	18.9378638434	124.8811475237	136.9939115567
72	42	11	8	21	13.3	18.8809680723	18.9109405169	120.650077375	132.1558630625
72	42	11	8	22	13.3	18.8493399853	18.8776995021	122.6745196319	134.2717904336
72	42	11	8	23	13.3	18.8234076768	18.8505558465	123.5038385494	135.0549379127
72	42	11	8	24	12.8	18.7577852823	18.7829598539	130.5284260131	142.7910550473
73	42	11	9	1	13.3	18.69345257	18.7168062481	137.9804452021	150.9859087381
73	42	11	9	2	12.2	18.6206034448	18.6419588795	141.4712289422	154.9180794447
73	42	11	9	3	12.2	18.5911238245	18.6115802983	133.4099351589	145.9195840086
73	42	11	9	4	12.2	18.5628445967	18.5826220019	124.5958470728	135.9844528871
73	42	11	9	5	12.2	18.5273714846	18.5465705933	124.0379375472	135.2108762787
73	42	11	9	6	12.2	18.4662177729	18.4843686948	131.4846868256	143.3957837402
73	42	11	9	7	12.2	18.4208081595	18.4383062931	133.764640154	145.9353789241
73	42	11	9	8	12.8	18.4985616458	18.5183385534	105.4416250673	114.4784483466
73	42	11	9	9	13.3	18.6424818512	18.6675302524	67.1115931296	71.4635105353
73	42	11	9	10	14.4	18.6863295282	18.7168326419	69.7137643731	73.173748523
73	42	11	9	11	15	18.8267705252	18.867343298	68.940486494	71.1771165459
73	42	11	9	12	15.6	18.8553719134	18.9029095159	76.3316608417	78.8949201164
73	42	11	9	13	15.6	19.2917965344	19.3559719076	15.5188567837	11.7523087489
73	42	11	9	14	16.1	19.5415905266	19.6157893617	-10.6150149085	-17.4869821053
73	42	11	9	15	15.6	19.4041208883	19.4751872748	64.3185069708	66.8250621277
73	42	11	9	16	15.6	19.3926969855	19.4575927149	113.3889339332	124.5777281528
73	42	11	9	17	15	19.2759227758	19.3265092564	133.2418503918	149.6028838449
73	42	11	9	18	15	19.2386507458	19.2758518904	137.7813157813	156.5108550681
73	42	11	9	19	14.4	19.207335901	19.2304430588	129.3431682037	147.6383045871
73	42	11	9	20	14.4	19.1983841166	19.210265593	119.0938002399	135.7353048279
73	42	11	9	21	14.4	19.1793662224	19.1819686965	116.7003770145	132.0904407688
73	42	11	9	22	14.4	19.1786325184	19.1751028714	114.7686517703	128.7625267828
73	42	11	9	23	14.4	19.1157359738	19.1058831199	124.3899590751	138.5173387627
73	42	11	9	24	13.9	19.0720759469	19.0580460115	132.1936716213	146.4208776027
73	42	11	10	1	13.3	19.0550227708	19.0384660603	125.8196481428	138.687831102
73	42	11	10	2	12.8	19.0174030272	18.9988012708	122.9346789109	134.9190340643
73	42	11	10	3	12.8	18.9496389675	18.929061354	132.2910279521	144.8672041763
73	42	11	10	4	12.8	18.8998970567	18.8782821018	136.4006682969	149.136106593
73	42	11	10	5	12.8	18.8883273594	18.8669237818	125.8423681883	137.169473119
73	42	11	10	6	12.2	18.8094905934	18.7872710343	130.4818898161	142.0403383392
73	42	11	10	7	12.2	18.7842216317	18.7627114761	131.7573113527	143.2621346324
73	42	11	10	8	12.8	18.7793843193	18.7591530515	120.6686790028	130.9215647665
73	42	11	10	9	12.8	18.8229691228	18.8056945541	102.9117645489	110.9762634081
73	42	11	10	10	12.8	19.1135916634	19.1059353873	43.9959943365	45.2388470353
73	42	11	10	11	13.9	19.0948970993	19.0896937854	54.6040824954	56.7677956581
73	42	11	10	12	15	19.3434908761	19.3471627717	51.6340732747	53.1233600175
73	42	11	10	13	17.2	19.5590843776	19.5710245806	36.8532077029	36.4904436421
73	42	11	10	14	16.1	19.904457802	19.9274236568	0.7214819363	-3.802754289
73	42	11	10	15	16.7	19.8181456754	19.8392145994	43.5268354859	44.6246804364
73	42	11	10	16	16.7	19.8043987592	19.8191099452	95.3074679079	104.4316048959
73	42	11	10	17	15.6	19.592285836	19.5854555583	136.789461733	154.4351637032
73	42	11	10	18	15.6	19.6011506504	19.5734611886	149.3544265876	172.7500464364
73	42	11	10	19	15	19.5676964724	19.5146218244	132.5206657398	155.8377073803
73	42	11	10	20	15	19.5141850873	19.4394609995	127.7387298854	150.2402943289
73	42	11	10	21	14.4	19.5291170226	19.4400915119	118.9172207257	138.3642650857
73	42	11	10	22	13.9	19.4672208209	19.3665875417	122.5635997063	140.1971780282
73	42	11	10	23	14.4	19.4680270501	19.361625743	121.5010752158	136.7788137047
73	42	11	10	24	14.4	19.4588988226	19.349422717	115.3547225579	128.1257617524
73	42	11	11	1	14.4	19.4385620672	19.3281707086	115.822642579	127.2569797765
73	42	11	11	2	13.9	19.397225999	19.2871554814	123.321145991	134.532542473
