period4	week	month	day	hour	ambient	t_w	t_e	lf_w	lf_e	pwr_w	pwr_e	hg_w	hg_e	crz_w	crz_e	crp_w	crp_e
1	1	1	2	13	13.9	23.359476901	22.5660250033	269.8	269.8	-1779.2475273584	-3727.8573951728	56835.1774432065	60177.7211916205	55185.3688340482	59081.8888242153	3429.0561365167	4823.689762578
1	1	1	2	14	13.9	23.2254895515	22.3470485687	227.2	227.2	-1440.1705175577	-3399.9090198661	56382.9438938236	58457.4694823132	54594.009129709	57263.7514738399	3229.1052816723	4593.6270283394
1	1	1	2	15	12.2	23.355530884	22.3489711992	255.6	255.6	-1039.6204266709	-3210.6615251128	57082.3122506534	58457.232757273	54824.3158670611	57067.6954782936	3297.6168102632	4600.1988040922
1	1	1	2	16	12.8	23.3708591582	22.2468124974	284	284	-998.2125692314	-3285.8215628752	57738.9939228521	59593.7150897471	55484.1819042587	58104.2625704176	3253.0245878248	4775.2740822047
1	1	1	2	17	11.1	23.2543063487	22.0833112404	284	284	-581.4605037261	-2726.3696336702	57626.3879559035	59539.5760641613	55066.7758543247	57563.911109072	3141.0726053049	4702.0345887595
1	1	1	2	18	10.6	23.2214951646	21.9743277305	14.2	14.2	-67.6100539231	-2118.9932713374	57850.6334821839	58872.500156234	54775.1103908879	56493.7236959297	3143.1331452191	4497.7697316417
1	1	1	2	19	11.7	22.7474087605	21.9544020514	14.2	14.2	-1398.8125840237	-653.5125206626	48546.108707442	48195.04950478	46946.9664999812	45701.1077072376	2997.9547914845	3147.454318205
1	1	1	2	20	11.7	22.6019597836	22.0934073483	14.2	14.2	-612.0997578888	-956.4774639693	49288.7054907573	54804.1649574649	47159.5933908923	52159.3153890101	2741.2118577538	3601.3270324241
1	1	1	2	21	10	22.6549835765	22.0632126072	14.2	14.2	-172.1742080887	-859.4640079042	49759.6112476688	51257.8529498398	47282.1211327785	48789.4630370693	2649.664322979	3327.8539206747
1	1	1	2	22	8.9	22.6165663194	21.9687100771	14.2	14.2	218.4049464617	-962.8082415796	49797.2865707034	53646.746796262	47024.8814352116	50995.5696119921	2554.0001890301	3613.9854258495
1	1	1	2	23	9.4	22.6830561875	21.9401893524	14.2	14.2	478.6143788166	-753.9676323755	50285.2305950338	52005.8968024256	47313.823511097	49335.1500562224	2492.7927051202	3424.7143785787
1	1	1	2	24	8.9	22.7091751752	21.9002154206	14.2	14.2	570.5238998014	-640.0458554386	50415.304928822	51883.1408824252	47393.085922581	49115.9158755739	2451.6951064396	3407.2708622899
1	1	1	3	1	9.4	22.3318512166	21.9369448213	14.2	14.2	-508.6959687516	526.5137887722	35918.8192728135	36509.3775286362	34435.6865314187	33933.352235725	1991.8287101464	2049.511504139
1	1	1	3	2	10	22.1366024403	21.9643962504	14.2	14.2	426.1650488484	374.1250715301	38522.9818863311	43152.8285621328	36504.0097506758	40682.671795102	1592.8070868069	2096.0316955007
1	1	1	3	3	12.2	22.1926661563	21.9467893967	14.2	14.2	699.3075756315	477.0131495767	39133.1529676285	40946.2128104513	36832.6733047915	38429.1586104205	1601.1720872055	2040.0410504541
1	1	1	3	4	13.9	22.3407081698	22.0264058164	14.2	14.2	834.4086962145	85.4705393539	39089.5478962558	42525.1874785772	36715.4451003879	40189.1043794176	1539.6940996534	2250.6125598057
1	1	1	3	5	12.8	22.3998164873	22.0194200162	14.2	14.2	860.0350890246	49.3537023192	39640.2185907879	42558.678321068	37231.0597768801	40232.098202585	1549.1237248832	2277.2264161638
1	1	1	3	6	12.2	22.4263721852	21.9973590702	14.2	14.2	925.4665093205	219.5657468761	39692.9497391874	41439.6553055142	37259.2170324762	39094.2827781629	1508.2661973908	2125.8067804752
1	1	1	3	7	11.1	22.5975846307	22.1015414966	14.2	14.2	-62.2904453077	-1054.2364981703	52058.4512358504	55108.4180192675	49177.3727443409	52371.7079147799	2943.3689368172	3790.9466026579
1	1	1	3	8	11.1	22.3159177944	21.9795747217	14.2	14.2	-557.2751397171	-974.0905901023	45254.4343883819	48051.8711172461	43036.1546797652	45496.4840757467	2775.5548483338	3529.4776316017
1	1	1	3	9	11.7	22.6114987596	22.1297696378	14.2	14.2	-909.1508679666	-2429.2024868075	60417.3300489823	65463.708137493	57305.6753391052	62663.226119482	4020.8055778437	5229.6845048185
1	1	1	3	10	13.3	22.6005513101	22.1476179364	255.6	255.6	-1711.4107149489	-2508.3025364589	53449.1278665389	55848.9932930412	51498.8196449968	53853.9827860591	3661.718936491	4503.313043441
1	1	1	3	11	12.2	22.8193629913	22.2405533968	269.8	269.8	-1140.3892585835	-2707.0143021312	56669.3194548697	61353.8409482612	54293.2413353054	59300.5393177444	3516.4673781478	4760.315932648
1	1	1	3	12	15	23.0689594328	22.3661707841	284	284	-1249.6833644034	-2965.6675369458	56248.8833523786	58371.1438285543	54164.9421561055	56823.6271522705	3333.6245606765	4513.1842132296
1	1	1	3	13	15.6	23.3292501564	22.4623927252	269.8	269.8	-1616.9607252663	-3594.8995065566	57082.2236465148	60102.1293319936	55286.7967937257	58871.9399464887	3412.3875780554	4825.0888920615
1	1	1	3	14	16.1	23.4646110709	22.5332689181	227.2	227.2	-1711.3287305784	-3739.3544662198	56416.1107209268	58501.745350812	54838.0086234387	57554.3268882258	3289.4308280665	4686.772928806
1	1	1	3	15	16.1	23.4614646162	22.3596673031	255.6	255.6	-1351.9652988208	-3700.3046187819	57262.0431782443	58506.1461388567	55288.460061124	57497.0185141948	3325.5484159411	4709.4322434438
1	1	1	3	16	13.9	23.4436983668	22.2423599944	284	284	-1132.6188459757	-3449.0147692158	57613.1469382545	59284.699413841	55489.1408228667	57895.4672638274	3256.6249613634	4838.2469192294
1	1	1	3	17	13.9	23.3185586909	22.0860567722	284	284	-621.4072358863	-2744.0652051311	57685.2949552657	59234.9055273028	55124.969950839	57255.9935975443	3181.732240313	4722.9771348896
1	1	1	3	18	12.8	23.3773263383	22.100730304	14.2	14.2	-369.2020940381	-2366.0330866305	57984.3495565348	58738.4464599739	55166.5884693258	56575.8291412394	3186.9631812472	4528.650405365
1	1	1	3	19	12.2	22.8875945162	22.0529962896	14.2	14.2	-1650.5970199229	-1098.8764416394	48495.7281364211	48167.7764838359	47136.4760688698	46000.811741706	3009.8490874742	3265.8411837693
1	1	1	3	20	10.6	22.6115118973	22.0542902139	14.2	14.2	-663.4899749565	-1136.6505514303	49156.7551002666	54521.0569423557	47096.232295303	52026.3878971473	2724.0127799201	3631.3195966387
1	1	1	3	21	10	22.7429265346	22.0867119481	14.2	14.2	-274.9072425776	-1074.3806400278	49860.454877218	51191.1910926298	47471.1395812643	48873.3608920241	2664.2225385313	3392.2108406335
1	1	1	3	22	8.9	22.6950260373	21.9917716569	14.2	14.2	71.3718100542	-1235.4367625648	49783.4235550403	53406.9229590743	47136.1653017281	50981.8349234041	2575.886443258	3660.524798235
1	1	1	3	23	8.9	22.8161003892	22.0120778581	14.2	14.2	192.0962023017	-1151.4290114295	50340.3159400296	51846.4380917146	47618.1126349032	49498.9335217806	2530.1071028248	3498.9335813635
1	1	1	3	24	8.9	22.8681964321	21.9979433877	14.2	14.2	167.3244770157	-1183.7330170167	50397.1231831629	51782.0449749235	47733.2218735761	49459.1210209909	2496.5768325711	3506.6569709493
1	1	1	4	1	8.3	22.3261201543	21.898515711	14.2	14.2	-579.9310952231	530.8870016011	35891.7571557293	36269.3543121426	34443.7019730412	33694.1700126112	2027.9862779112	2044.2972979303
1	1	1	4	2	7.8	22.0589582639	21.8800039992	14.2	14.2	612.9984458849	623.7731780393	38452.8258815839	43208.843858433	36248.7736722484	40491.8576198193	1591.0537634506	2093.2130605744
1	1	1	4	3	8.3	22.2038430202	21.9419172375	14.2	14.2	752.6979531392	517.0240942646	39271.8415780174	41046.6538883493	36916.4320575821	38486.9291856136	1602.7115672961	2042.7006084711
1	1	1	4	4	6.1	22.1186232486	21.8163704896	14.2	14.2	1243.9659435686	671.1246498266	39049.046693663	42489.4232400806	36340.2600369131	39651.1172275216	1464.8207131813	2167.1813627324
1	1	1	4	5	4.4	22.2129286265	21.8386557559	14.2	14.2	1489.9776919426	746.2881705514	39609.4604989271	42509.7294447951	36622.8945831463	39600.9349186295	1496.5882238382	2162.5063556142
1	1	1	4	6	6.1	22.2262181711	21.8019767488	14.2	14.2	1523.1418097145	946.1803783419	39966.6512431189	41732.0757570351	36986.6543130034	38735.9276614236	1456.855120401	2049.9677172696
1	1	1	4	7	5	22.3825309412	21.901049601	14.2	14.2	636.3553364001	-254.7169552722	52167.6859302539	55451.1309549537	48677.3980311077	52010.127835052	2853.9325627461	3695.7200751739
1	1	1	4	8	6.7	22.1661464342	21.8412851462	14.2	14.2	-17.4640586402	-337.680906952	45447.1414399788	48244.9668905096	42767.7801435745	45162.4824190747	2696.8253550445	3420.1653783869
1	1	1	4	9	8.3	22.4750426921	22.0189604738	14.2	14.2	-725.5874037806	-2163.4797679063	60542.9256713789	65685.5221984248	57223.4623267302	62651.283952111	4045.0507484293	5197.7180142201
1	1	1	4	10	8.9	22.3701576667	21.959962466	255.6	255.6	-1316.4036494454	-1946.4558527608	53431.8724541804	55839.6491971905	51091.787013766	53340.7569468512	3656.4890898598	4445.3481031001
1	1	1	4	11	8.9	22.6352934816	22.1030919068	269.8	269.8	-709.1653255818	-2160.4043983657	56721.469545421	61663.1309278586	53969.8957511163	59145.4737304663	3460.7391198865	4678.061595758
1	1	1	4	12	10	22.9584210594	22.3030194835	284	284	-1190.7139573199	-2710.5622319083	56212.7039300366	58434.4689919844	54024.589383269	56687.776680538	3378.8285040875	4457.2545433547
1	1	1	4	13	10.6	23.0657492031	22.2596597564	269.8	269.8	-1222.8788444836	-3088.1763853445	56695.0294993712	60151.542019288	54561.7496003449	58512.878614646	3356.1587435099	4726.8397899865
1	1	1	4	14	10.6	23.3116953676	22.3899886461	227.2	227.2	-1330.0334385546	-3330.7645359234	56650.1725141119	58741.870902486	54696.6842710036	57444.1833637534	3283.5216816629	4628.452074656
1	1	1	4	15	10	23.1575856776	22.1222792752	255.6	255.6	-898.8232410092	-2861.0250489577	57204.7626093726	58631.733103286	54880.7617853851	56932.3578789086	3222.8240649967	4560.4002733351
1	1	1	4	16	10.6	23.2182390376	22.102644138	284	284	-572.5985022045	-2649.6411869409	57391.384625004	59309.9788235366	54777.2029678578	57341.0716785457	3186.7801593507	4618.5483319318
1	1	1	4	17	10	23.1034975396	21.9072826576	284	284	-154.2218206306	-2152.9197208236	57791.4092448716	59534.1668285347	54815.0516660986	57112.1062649755	3130.5793994036	4574.9802843828
1	1	1	4	18	10	23.0867709491	21.8453123807	14.2	14.2	215.6149924731	-1639.4399578573	57950.2406272095	59223.1006369278	54651.8698002555	56416.5019444817	3082.7558344809	4446.0386503034
1	1	1	4	19	9.4	22.6027469823	21.8238256535	14.2	14.2	-1024.0003185649	-186.898197344	48372.8542440641	48391.4339046095	46487.0980661818	45501.4476613026	2909.7564964472	3076.8844406509
1	1	1	4	20	9.4	22.4168548436	21.9067676232	14.2	14.2	-112.0941110369	-353.8830190088	49453.7414734588	54912.4800209243	46897.1637298091	51775.5840934652	2668.6718546866	3490.7789464679
1	1	1	4	21	8.9	22.5314201484	21.945459532	14.2	14.2	204.7290590873	-407.7018296094	49811.3088011055	51412.2040436489	47023.1638975549	48569.4958212198	2583.4158444633	3250.4100520385
1	1	1	4	22	8.9	22.572725986	21.9343740511	14.2	14.2	359.8674638024	-771.5809234733	49861.2441425215	53688.881839803	46982.1366836025	50901.5000871153	2519.2399951167	3558.962676161
1	1	1	4	23	7.2	22.6264679613	21.9032988506	14.2	14.2	564.7535324628	-595.4538270014	50206.2259442395	52000.5044771662	47182.9952937722	49225.7499546038	2458.4771180045	3370.2083495638
1	1	1	4	24	8.3	22.6943722729	21.9030002961	14.2	14.2	608.643390536	-585.6980753918	50398.0142407671	51928.6856884644	47347.4683264248	49134.5377994837	2441.9025238063	3379.8459643725
2	1	1	5	1	7.8	22.2362783853	21.8447607535	14.2	14.2	-261.6827001789	776.0537266779	35916.0895670836	36576.4771492474	34209.338995846	33768.5416830129	1968.4332714165	2031.8817395566
2	1	1	5	2	7.8	22.0060482407	21.8371510511	14.2	14.2	808.9067825311	818.558268234	38482.969515647	43074.4357383553	36125.5612444739	40213.7178226652	1548.501488642	2042.1596474561
2	1	1	5	3	5	21.9714518587	21.7336308501	14.2	14.2	1335.9296804221	1222.22004119	39299.0818674372	41202.0622148922	36437.432829766	38038.7005255592	1525.7193572491	1941.141648143
2	1	1	5	4	3.9	22.0529006593	21.7610625527	14.2	14.2	1648.2478945375	1086.3057604859	39263.2354624628	42724.9756733851	36179.8299750061	39534.2413487713	1435.1575929192	2104.4285641279
2	1	1	5	5	4.4	22.0656035766	21.7128713569	14.2	14.2	1830.4409069306	1210.6117439116	39726.2206907857	42751.3269620245	36462.721020302	39440.5919925368	1433.0587635532	2100.1232255761
2	1	1	5	6	3.9	22.0912230787	21.6943479325	14.2	14.2	1940.6845321333	1431.6825656887	39892.7438263704	41781.965066705	36554.5577174107	38387.3185566523	1397.5015768264	1962.963944364
2	1	1	5	7	6.1	22.3443769404	21.8802369147	14.2	14.2	828.4052768468	-49.7725074175	52257.7605655681	55527.6593374766	48619.6644554178	51942.2900085259	2809.6908333036	3635.1418363682
2	1	1	5	8	6.7	22.107335252	21.7905293112	14.2	14.2	128.7493421529	-179.818770864	45432.318970086	48249.1978152647	42631.8106443006	45035.0033312286	2671.7589836325	3394.0132549001
2	1	1	5	9	7.2	22.4170098494	21.9570281704	14.2	14.2	-249.8211024152	-1696.873617171	60539.7006141323	65692.3102361854	56888.7921638619	62301.8236912527	3900.7295526856	5087.3601621036
2	1	1	5	10	7.2	22.303129554	21.8749870937	14.2	14.2	-820.4625356609	-1468.6821383615	53629.5040648419	56086.4118736312	50921.305527674	53224.9760543734	3528.6610728288	4330.1179576193
2	1	1	5	11	8.3	22.6179713644	22.0782030932	14.2	14.2	-425.2506650745	-1856.3158484795	56885.6052226012	61740.7842256614	53899.9516515115	58986.0960191085	3410.9042361642	4611.0040550324
2	1	1	5	12	8.9	22.7759934215	22.1307259411	14.2	14.2	-604.2646120704	-2039.1086614698	56355.3941092238	58585.4365088659	53663.9569975268	56283.3607296898	3295.7017237674	4341.1844406459
2	1	1	5	13	9.4	23.0400237185	22.2578877616	14.2	14.2	-947.5782353098	-2751.1653637513	56957.5167183593	60436.6303736859	54584.0966269114	58518.6973865888	3320.9983267577	4669.0983508484
2	1	1	5	14	10.6	23.1318137992	22.2672295009	14.2	14.2	-944.2895533044	-2819.1336917617	56548.9756204686	58753.0678973319	54295.5716936083	57062.2334719457	3197.6934801647	4509.9681171479
2	1	1	5	15	11.1	23.1536232734	22.164116241	14.2	14.2	-622.7487834778	-2645.9370293929	57224.5608689993	58702.8053024728	54626.5619968542	56841.6924747563	3220.7476556229	4507.0498571094
2	1	1	5	16	10	23.1794120597	22.0940773736	14.2	14.2	-479.3401170651	-2599.2636876565	57585.101506938	59621.7410819021	54893.0083899682	57586.2594622935	3171.433234035	4634.7453072651
2	1	1	5	17	10.6	23.0206121947	21.8739540879	14.2	14.2	49.7023736065	-1925.3766559609	57681.1344971431	59643.014839486	54551.2367750199	57020.4157914778	3080.1953485167	4547.9757039691
2	1	1	5	18	9.4	23.1320379834	21.9047437546	14.2	14.2	220.4302864149	-1705.1170989398	57922.0912654074	59135.4270281553	54584.8773600119	56407.9890493208	3116.7836189806	4432.5550777743
2	1	1	5	19	8.9	22.6210264454	21.8351885627	14.2	14.2	-1105.5368493289	-284.500397954	48528.5733293252	48487.7757667032	46683.4516426316	45656.9640001918	2950.6585360225	3115.3121644654
2	1	1	5	20	8.9	22.4286874285	21.90717539	14.2	14.2	-176.0742802844	-408.1061811888	49356.2725760675	54829.042487098	46855.4028802872	51731.5946257341	2676.9439760647	3505.5540425527
2	1	1	5	21	7.8	22.5477226484	21.9450550538	14.2	14.2	149.1937840032	-430.1136358341	49808.9356044435	51414.4085992114	47060.3505841584	48574.4557938821	2599.3912362819	3270.0664411634
2	1	1	5	22	8.3	22.5977315032	21.9423452525	14.2	14.2	292.6785281458	-826.2539272333	49802.7742064835	53628.6787442124	46975.7038674489	50881.6686190765	2534.3918108888	3573.2640523692
2	1	1	5	23	7.8	22.6671546179	21.9198325104	14.2	14.2	465.0370847269	-685.8528354392	50206.0444206981	51969.7068059492	47260.6632518396	49260.7624706981	2480.3440841316	3394.7971706903
2	1	1	5	24	7.2	22.7087383803	21.8927642171	14.2	14.2	544.0081371877	-623.8876667848	50379.6586132041	51907.6161517865	47383.4118830126	49136.1803252192	2452.2385930038	3395.3234933521
2	1	1	6	1	7.2	22.2633432279	21.8547938806	14.2	14.2	-338.4856144965	759.5295728424	35884.5912868288	36509.4335086469	34239.7863533554	33718.9739197459	1983.2905479699	2030.9300160586
2	1	1	6	2	6.7	22.0321878337	21.8497182466	14.2	14.2	724.2799062557	770.2209529074	38475.5785707384	43110.5475970007	36187.3359741219	40285.4003599282	1563.9626903608	2054.9262841652
2	1	1	6	3	6.7	22.1069880373	21.8478210718	14.2	14.2	994.8904096093	844.512068186	39266.6316514214	41149.4814858558	36706.305856767	38313.1926526446	1565.4353850451	1991.7767650252
2	1	1	6	4	6.7	22.1504865912	21.8376414295	14.2	14.2	1287.5000535646	716.5646228848	39125.7108176027	42564.3543682072	36371.5263605933	39698.6217142555	1466.6844034449	2149.1680310669
2	1	1	6	5	6.1	22.1951909712	21.8131789511	14.2	14.2	1466.9321203862	787.6442422715	39650.5097088879	42586.9621319952	36703.5049674017	39647.9992746542	1480.0726211	2151.3186150696
2	1	1	6	6	6.1	22.1396237916	21.7189014455	14.2	14.2	1697.9630704079	1220.7019785878	39858.739815192	41679.3074980293	36743.0240146801	38463.4065227359	1417.752730104	1995.1989967056
2	1	1	6	7	5.6	22.3717908427	21.891270809	14.2	14.2	725.2686029106	-112.6290027861	52159.7762611341	55406.5461264553	48611.0603625205	51875.4851620399	2823.447295703	3643.6899672015
2	1	1	6	8	5	22.0950310604	21.7645957107	14.2	14.2	155.6087745497	-104.3541336124	45452.390110298	48287.4554032121	42616.1246424831	44995.819302128	2680.6566932652	3395.9902346965
2	1	1	6	9	5.6	22.4540636703	21.9842072186	14.2	14.2	-324.3090505499	-1748.8809567876	60540.733015801	65691.6290955098	56943.461004678	62336.7725562983	3921.5810616729	5103.7374959991
2	1	1	6	10	6.1	22.3344435089	21.8969466058	14.2	14.2	-928.625540254	-1560.0943736394	53580.884251514	56023.4298855829	50957.7166535683	53234.1796542092	3551.7931381997	4349.3446050131
2	1	1	6	11	6.7	22.570906328	22.0203815448	14.2	14.2	-339.362906608	-1737.9397575317	56849.3316722022	61706.3155093859	53778.7369193805	58838.3652326663	3409.9576594297	4605.8900342513
2	1	1	6	12	6.7	22.6489359186	21.9985430791	14.2	14.2	-266.674000491	-1629.6446621803	56377.4920855091	58613.7533866979	53374.7070492204	55946.5962652039	3269.4590367797	4296.8017836743
2	1	1	6	13	7.2	23.1606847601	22.3948116385	14.2	14.2	-1169.4147260823	-2931.6719697939	57044.6628857772	60552.229255107	54857.7442621473	58784.1535291667	3356.3333497122	4699.7476957342
2	1	1	6	14	7.8	23.0271962496	22.2104925501	14.2	14.2	-812.6868863305	-2667.5484944018	56297.4347724881	58521.4960319163	53867.3355326214	56702.1920235246	3242.7861261972	4486.8525027935
2	1	1	6	15	8.3	23.1255443098	22.1438306973	14.2	14.2	-452.689990264	-2666.6724257888	57696.2171576095	60065.241562764	54905.9186216966	58033.4680714179	3242.9885261769	4698.4459171349
2	1	1	6	16	8.3	23.1389447388	22.0863708694	14.2	14.2	-475.9472703239	-2498.5979298551	57347.0597671335	59806.3491146366	54679.9465415289	57667.0258122307	3143.0604959285	4637.921232261
2	1	1	6	17	8.3	22.9809752002	21.8544412098	14.2	14.2	174.3927504086	-1673.3572390367	57595.4788035121	58925.8183619713	54336.0298045138	56200.5500979191	3085.0562485897	4398.6255030889
2	1	1	6	18	8.3	23.1186685159	21.9036910295	14.2	14.2	250.6033327376	-1641.6784522297	57975.2226831156	59116.1746453764	54600.888343011	56346.6181546417	3123.731007367	4411.2349429644
2	1	1	6	19	8.3	22.6367703157	21.8440629485	14.2	14.2	-1038.0484072957	-466.2909486906	48446.6303532232	48975.4016358322	46569.7940743424	46176.6870278142	2914.8846861765	3265.0055567086
2	1	1	6	20	7.8	22.3729562784	21.8343650537	14.2	14.2	13.6734864299	-471.6457298699	49332.2921160191	54434.025552173	46720.3720330248	51400.4325591716	2598.2465965644	3505.2387228713
