period4	week	month	day	hour	environment	t_1	t_2	t_3	t_4	t_5	hvac_1	hvac_2	hvac_3	hvac_4	hvac_5
1	1	1	1	23	8.4	18.6503591189	18.6888433518	18.531464984	18.7182943619	19.2675521044	-1168.787612747	-508.6700877717	-1145.7689946853	-499.6970162935	-2203.61032396
1	1	1	1	24	7.1125	17.9806297381	17.9999109507	17.8699393689	18.0236455446	18.7006681469	-1240.9992441782	-544.0069247671	-1219.9916190012	-536.1829506006	-2352.8613022459
1	1	1	2	1	8.075	17.706166606	17.6769583496	17.6034815403	17.6917225351	18.464326765	-1095.425309618	-490.6550345377	-1080.6166344109	-487.8773531528	-2097.9950128373
1	1	1	2	2	7.15	17.4855369794	17.4485159685	17.3877007394	17.4670613709	18.2713730585	-1181.7601983921	-516.3425061519	-1162.5023970796	-510.0336516774	-2261.4550535883
1	1	1	2	3	5.7875	17.110946087	17.0736269995	17.0116028769	17.0935612095	17.9316977372	-1295.8819683204	-573.0770558465	-1278.2503053181	-567.7217030185	-2471.049544263
1	1	1	2	4	4.5375	16.7871735042	16.7504188742	16.6910923448	16.7699521695	17.6580721516	-1405.6315616782	-620.3197838406	-1387.1855852519	-614.2848139477	-2678.3000574917
1	1	1	2	5	4.9625	16.60834911	16.5456890385	16.5067150409	16.5576923046	17.5048184752	-1333.4233966288	-597.5664702124	-1318.3557541551	-594.8709859958	-2551.8886657935
1	1	1	2	6	6.6	16.7104431254	16.6109000822	16.6013925757	16.6163943287	17.5979962152	-1154.4901481097	-518.2729485367	-1139.7947153713	-517.2930213369	-2229.7453184914
1	1	1	2	7	7.575	17.9771233344	17.9074118765	17.9232020171	17.9124399735	18.5156215122	1308.3690613467	653.0436113207	1417.736605716	651.6778542811	664.6777952606
1	1	1	2	8	7.425	20.8704871524	21.2564335002	20.9451242201	21.0126332353	21.4123356234	7159.2957733105	3108.8819662207	7539.6475271065	3423.0061077552	10085.3219226966
1	1	1	2	9	9.325	21.819574406	22.866222177	21.8284039567	21.7425864085	22.0589176308	4800.3458761888	951.8069819897	5004.2493993396	2237.507655866	6956.1167484634
1	1	1	2	10	11.2875	22.1572838931	23.9187789595	22.0597098176	22.0600377231	22.1489881204	3292.6472888027	-191.6181585998	3522.5701762508	1650.6466767656	5323.4842122796
1	1	1	2	11	13.075	22.5606429591	24.396378634	22.3034676022	22.3042567506	22.2616696609	2054.6956378692	-585.6804797485	2626.1424756167	1214.5546802461	4472.0614006275
1	1	1	2	12	13.9	23.0906966546	24.8156621203	22.4858148137	22.4947086191	22.3650137046	991.541491488	-556.379250186	2052.6540806426	935.6330489206	3853.971847318
1	1	1	2	13	13.9	23.6342222804	24.3707096009	22.6063342362	22.6351014204	22.4646044555	-5.6581301264	-523.6789274643	1770.4679478061	790.1877340626	3452.7255072624
1	1	1	2	14	13.9	23.9059321177	23.6147975268	22.7112811469	22.7651630086	22.548272795	-700.0401775199	-84.2082449662	1563.0598841948	673.9234556535	3123.7657316727
1	1	1	2	15	12.8375	24.2349354283	23.2079203447	22.6929037075	22.831080487	22.61271209	-1278.5966043457	417.591638214	1750.3583002195	696.3255767118	3141.4353888176
1	1	1	2	16	12.575	24.2990574607	22.9446820035	22.6073007873	22.9704057082	22.6543868216	-1274.9494774065	654.3168628844	1939.6961918986	615.6842541002	3057.5716019422
1	1	1	2	17	11.7375	23.262504437	22.6111431022	22.3927771611	22.6811311245	22.6332972987	934.1479242967	958.511976798	2524.7679647126	894.9148812406	3278.4658046528
1	1	1	2	18	10.7875	22.6832059085	22.396206087	22.2663627357	22.4260619592	22.5582691047	2149.6375321067	1227.9270622733	2963.6324191734	1190.6736094368	3703.8245048603
1	1	1	2	19	11.2875	22.4114015068	22.2814033136	22.1988798452	22.2971130049	22.496190769	2590.6348847893	1332.7884944996	3074.1159568869	1309.9458941406	3805.3035552389
1	1	1	2	20	11.7	22.2656162018	22.2101348638	22.1481335245	22.2175044793	22.4476629973	2890.8325884727	1401.0490975526	3166.2577466702	1387.8823700406	3897.0248510211
1	1	1	2	21	10.6375	22.1630894048	22.150424489	22.0950293691	22.1534450262	22.4077187396	3315.2499453242	1548.7398144143	3471.0041205329	1541.1048166735	4311.7807275482
1	1	1	2	22	9.3125	19.9897843791	20.0429348134	19.9064738207	20.0720915649	20.4889461877	-1267.7342478015	-542.2536249218	-1247.3764098476	-529.5778993334	-2378.9732160698
1	1	1	2	23	9.2125	18.7293862582	18.7731866396	18.6213921074	18.8037299419	19.3089943132	-1081.5769712991	-473.6835350605	-1061.4840728709	-466.1445372248	-2037.9068938171
1	1	1	2	24	9.0875	18.293673183	18.2860612319	18.1841285398	18.3096015217	18.9457326539	-1047.6233785737	-459.059993731	-1028.3179112959	-453.1500488233	-1993.2182830694
1	1	1	3	1	9.2125	18.0106648048	17.9764105975	17.9066735788	17.9940730619	18.7019477213	-999.233618228	-441.8567507764	-982.6500054001	-437.7346593277	-1913.5327742571
1	1	1	3	2	9.775	17.8966916732	17.8439062833	17.7984765258	17.8574214681	18.6058075701	-920.8080590112	-408.2563625266	-905.7340928813	-405.3929697971	-1776.954629695
1	1	1	3	3	11.375	18.0082092745	17.9158859104	17.904139723	17.9240512004	18.6790044135	-746.0474643776	-334.9073503054	-733.2500942095	-334.7615765305	-1455.7726345556
1	1	1	3	4	13.2625	18.3004066032	18.1825309833	18.1961470198	18.18638057	18.9094675279	-561.2792279869	-251.3473302303	-548.9868495812	-251.9977374232	-1113.1389670749
1	1	1	3	5	13.2125	18.4224550388	18.3363010063	18.3328587255	18.3430535977	19.0030005688	-582.6055384047	-252.3255095606	-568.517396302	-249.6344058959	-1147.9846839717
1	1	1	3	6	12.425	18.3499083446	18.2951436479	18.2692007983	18.3053070766	18.9286512315	-664.2064670949	-289.8522105333	-650.8529584357	-286.3756350174	-1293.2314588
1	1	1	3	7	11.5125	18.4679939155	18.4291528898	18.4338152486	18.4296275345	18.8649263029	-224.1411068134	-80.7941022018	-129.7662385207	-83.7582484336	-1308.8106369568
1	1	1	3	8	11.1	21.2375643699	21.5136481903	21.2389338245	21.3112030901	21.567821514	6033.7892821909	2464.4533970631	5875.4694191853	2765.1199148747	8176.2966736614
1	1	1	3	9	11.475	21.9571502032	22.8995919227	21.9070629418	21.9255350892	22.0896535647	3787.1970738548	769.5674720352	3927.1604178326	1819.8004774335	5452.6620197495
1	1	1	3	10	12.7	22.2772027644	23.8053082295	22.1935017176	22.2021237144	22.2329425407	2751.8370037837	-131.0002543329	2937.9343756769	1358.6156351469	4605.1562904972
1	1	1	3	11	12.6125	22.6236922595	24.2527985338	22.3925270057	22.3994825639	22.3345197149	1947.0163746124	-594.3532767421	2438.9683521965	1116.6230542761	4230.1425532196
1	1	1	3	12	13.95	23.0051024084	24.2540476231	22.5807826513	22.5899244813	22.4206162509	1130.0414502488	-525.2262430292	1814.6720629014	824.3248362786	3582.1017890499
1	1	1	3	13	15.375	23.5131244581	24.0659390268	22.7031177591	22.7281510864	22.5013282511	63.8532208728	-430.7469130252	1373.3397402814	611.7469133541	2940.5814137325
1	1	1	3	14	15.9125	23.9904135169	23.5585005774	22.7850438271	22.8340608086	22.5758692546	-828.166729385	-120.5054855985	1177.8738072488	502.3620079152	2542.9529600222
1	1	1	3	15	16.1	24.3352830735	23.2325083036	22.7969460873	22.9133846782	22.6368904997	-917.794285482	191.43885566	1152.228801189	440.7299066895	2294.5810056395
1	1	1	3	16	14.725	24.0031537305	22.9850315944	22.6936430421	22.9744386619	22.6687322123	-776.6906310194	487.6444757754	1494.8773711474	484.9517260269	2499.2354900637
1	1	1	3	17	13.9	23.1097371728	22.6627503468	22.4730037895	22.6802563566	22.6381770956	940.4374169226	769.5214122452	2036.1794566762	751.3196538645	2738.9219103928
1	1	1	3	18	13.2125	22.6596207601	22.453751142	22.3400519397	22.4610336636	22.5693652695	1822.7381358317	1010.1690529399	2444.2670920649	997.9400947537	3090.5616286103
1	1	1	3	19	12.425	22.4155789289	22.3263064469	22.2485404151	22.3299041005	22.5114720983	2410.9881182259	1205.990439633	2787.6775405603	1197.3805634068	3474.9044743949
1	1	1	3	20	11.2	22.2683897548	22.2387851107	22.177929853	22.2408689744	22.4637191288	2942.0926852266	1391.9489096692	3147.5655329078	1385.4317851421	3944.6228903541
1	1	1	3	21	10.225	22.1691715984	22.1709430221	22.1166909499	22.1716610214	22.4232986028	3341.7426806011	1541.8106277296	3456.2614923426	1537.8145475568	4333.8189283258
1	1	1	3	22	9.3125	20.0183827838	20.0869995713	19.9532000857	20.1124627237	20.5204834523	-1269.4413449062	-544.1639442832	-1251.1638301425	-531.4182864245	-2382.3735245617
1	1	1	3	23	8.9	18.7253758445	18.7934709829	18.6387577865	18.822296624	19.3149030549	-1117.548563679	-489.7869208258	-1099.3814772282	-481.6479028574	-2104.460287259
1	1	1	3	24	8.9	18.2630395257	18.2859493614	18.1808783203	18.3095866968	18.9399215059	-1066.0603046601	-470.2863443184	-1050.3352795139	-464.7039191134	-2030.9250768472
1	1	1	4	1	8.525	17.9608300628	17.9533917507	17.8752497906	17.9718074881	18.6649518443	-1074.9227223774	-474.3110790225	-1059.2005235508	-469.1132394567	-2052.7293085338
1	1	1	4	2	7.9875	17.7074141975	17.6787189022	17.6186874322	17.6956192796	18.4308479374	-1108.3856918689	-489.4097810274	-1092.5374973442	-484.6140210217	-2116.0607402074
1	1	1	4	3	8.1125	17.545941994	17.4974666124	17.4540382327	17.5111842374	18.2917171244	-1074.8370761355	-477.710007606	-1060.0796895695	-474.4020529558	-2059.7667978691
1	1	1	4	4	6.925	17.3188469861	17.2773179367	17.2280648449	17.2936715518	18.0993882126	-1189.4505031138	-521.7771932679	-1171.7741778567	-515.8285482457	-2273.8428685261
1	1	1	4	5	5.0375	16.9240081737	16.8969533438	16.8337476927	16.9139471375	17.7632715292	-1364.2827560863	-601.0649224472	-1346.2426605878	-594.3905318123	-2598.0252086725
1	1	1	4	6	5.4625	16.751838761	16.6935005012	16.6549436322	16.7044053828	17.6154034102	-1292.3216852077	-579.3437452201	-1277.9487491458	-576.7932884933	-2471.9240215887
1	1	1	4	7	5.4125	17.9860519557	17.9315376941	17.9512327591	17.9355138652	18.5553063972	1563.6082517606	758.1532084791	1669.8450466893	755.5949323089	1066.3395467816
1	1	1	4	8	6.0625	20.8918844516	21.1711186004	20.9577529994	21.0250143618	21.4321338718	7254.5243336261	3319.247162859	7525.0397302691	3489.7451190161	10056.5923578628
1	1	1	4	9	7.7	21.8044057785	22.2909160216	21.8087683794	21.7319194733	22.0729420143	5410.4565737264	1582.1759455415	5153.4586064927	2349.5736835973	7140.8471123683
1	1	1	4	10	8.675	22.0532422776	22.6028193763	22.1328672193	22.0173794889	22.2513578219	4251.6685598056	1160.8830123937	4325.3986378076	1867.9714906321	6427.1222992214
1	1	1	4	11	8.9	22.2587565697	22.9461647571	22.2775092964	22.2382544559	22.2691428172	3591.750852565	868.7275483583	3579.3558623568	1552.9037603108	5894.0286179822
1	1	1	4	12	9.5875	22.649571676	23.444912609	22.4115801133	22.4316628775	22.307373183	2300.4898132227	421.5533043996	2799.6209987548	1268.7027972842	5080.5238133189
1	1	1	4	13	10.375	23.0442634031	23.4106326399	22.5407332533	22.5759113202	22.3886605298	1554.6843555223	371.3129166517	2391.184887631	1064.1236477483	4559.7078976922
1	1	1	4	14	10.6	23.5483496142	23.2058489337	22.6092929394	22.6684327888	22.4680048997	616.3278333674	540.5080684427	2208.7478068719	962.3685407717	4181.3616885457
1	1	1	4	15	10.225	23.4413461157	22.9379071708	22.5878851571	22.6990664603	22.5239475451	814.6172943471	796.8413962395	2301.3357101576	956.6128165678	4037.6338158839
1	1	1	4	16	10.375	23.2364490854	22.7202597153	22.4958199779	22.6964977874	22.5447693627	1218.4538013218	950.1164951182	2472.8656116942	945.8213693187	3901.0858732071
1	1	1	4	17	10.225	22.6670277347	22.4454238344	22.2998902798	22.4435842893	22.5202114453	2264.6309399565	1216.9211836334	2970.5346268605	1211.0622555683	3990.5209658356
1	1	1	4	18	10	22.37183605	22.2811080771	22.1876553227	22.2807811257	22.4709320517	2872.6257963243	1419.1696672955	3296.4968191037	1415.0664226441	4208.0207434733
1	1	1	4	19	9.625	22.2173034323	22.1863093111	22.1168381869	22.1866911825	22.4298270913	3307.4298460637	1563.4332259412	3543.9537983553	1558.5245647949	4455.0883153899
1	1	1	4	20	9.4	22.1525832162	22.1240064037	22.0658920056	22.1244047504	22.3937188158	3759.0556813957	1661.3629530107	3724.5281455974	1657.0722397093	4657.878098821
1	1	1	4	21	9.0875	22.1258821656	22.0803731242	22.0269226129	22.0802775439	22.3627054724	3813.780618077	1743.4191028004	3888.7476517957	1740.6039435704	4868.8670257518
1	1	1	4	22	8.9	19.8796887657	19.9073441446	19.7736231626	19.9315095066	20.3716060437	-1309.4373554105	-558.1947935059	-1283.3781133775	-545.167570016	-2447.5790036742
1	1	1	4	23	7.8375	18.4791647532	18.5521311426	18.3996762292	18.576907324	19.1183524117	-1217.9639855142	-531.8123129469	-1199.0431218315	-522.3076281909	-2296.5088868054
1	1	1	4	24	7.8875	17.9565036804	17.9788196009	17.872075274	18.0000011587	18.6654967694	-1148.1637380583	-510.0957477104	-1133.0575151368	-505.140992501	-2183.4505999519
2	1	1	5	1	7.9875	17.7150226076	17.7019937131	17.6308498338	17.7195048494	18.457955659	-1109.8038842534	-490.8352482945	-1094.4282963647	-486.0773145257	-2122.6687075976
2	1	1	5	2	7.8	17.5089546806	17.478197907	17.4278586108	17.4953571417	18.2728654064	-1107.5669602054	-491.3779819705	-1093.3461269207	-487.5038032621	-2122.5064458067
2	1	1	5	3	6.05	17.1972712435	17.1752224761	17.1162775669	17.1956461076	18.0027624603	-1277.9244157093	-560.033307261	-1260.2996779235	-553.1982501945	-2437.5824889708
2	1	1	5	4	4.3125	16.7761933902	16.7590099794	16.6894286723	16.7762950475	17.6411911117	-1431.397369394	-633.3568011696	-1414.1843893357	-626.9085441722	-2722.934772993
2	1	1	5	5	4.2125	16.5468673292	16.5045843328	16.4542248156	16.5170443189	17.4507275328	-1415.5903914091	-631.9796263832	-1400.1207153674	-628.0721002224	-2701.4575284449
2	1	1	5	6	4.0875	16.4122398453	16.3517333027	16.3171970588	16.3648571981	17.3386637472	-1415.5880970728	-629.6878903748	-1399.1723331232	-625.6625799612	-2706.5182319776
2	1	1	5	7	5.275	16.4203530799	16.3297342536	16.3193448299	16.3379264711	17.3418365661	-1276.2785297383	-574.5316210893	-1262.6262898518	-573.5797312815	-2454.2718410349
2	1	1	5	8	6.475	16.5857317305	16.7241471291	16.4945257173	16.4911137148	17.4721438093	-1155.7612077174	-535.0336986341	-1142.5047453976	-516.4186130938	-2233.8380063759
2	1	1	5	9	7.0125	16.9150492991	18.371101723	16.8361856946	16.8014872946	17.5821667285	-1128.5729895568	-599.4615278031	-1117.0399996934	-504.7799213615	-2144.1651863991
2	1	1	5	10	7.2	17.3952200225	19.5940557223	17.2988990533	17.2343223802	17.7224964437	-1158.8813796739	-651.2122894963	-1146.7627550461	-519.1739702664	-2133.4198135318
2	1	1	5	11	7.8875	18.2608839921	21.2190413466	17.8262785137	17.750058612	17.9465700653	-1171.6301068646	-702.8942781946	-1125.1349927428	-509.9486415819	-2031.2662578486
2	1	1	5	12	8.675	19.4165667923	22.1465724372	18.3115718484	18.2465762863	18.2674890151	-1208.2336535419	-701.6425175108	-1088.5042924482	-494.2283795582	-1929.9231550048
2	1	1	5	13	9.2125	20.8155638544	22.0988234707	18.6465409747	18.6352895345	18.5893474692	-1304.9553908588	-658.1270528153	-1063.2661087357	-481.4234147884	-1881.4404430084
2	1	1	5	14	10.15	22.3809809994	21.4035824165	18.9882425568	19.0450906925	18.9491424356	-1376.620908868	-568.0460191664	-992.4517479425	-454.5583014369	-1756.447879642
2	1	1	5	15	10.9125	23.5992131455	20.7741139162	19.2911772208	19.5178316	19.3134794465	-1434.8373047737	-494.9540576918	-939.1699290155	-440.962653345	-1673.5462155663
2	1	1	5	16	10.4125	23.796941258	20.2595764153	19.2541546549	19.9841899444	19.4921370543	-1529.2837623529	-489.990315247	-994.6874556978	-488.8403315401	-1820.0794957463
2	1	1	5	17	10.375	21.8492700207	19.5865454231	18.8876460877	19.6415476858	19.4852636962	-1327.1173939084	-461.6069463368	-958.9081743281	-460.0422636548	-1825.6191617494
2	1	1	5	18	9.85	20.17444314	19.022629054	18.581677563	19.0740953675	19.3139853943	-1181.6332117795	-458.2500095819	-984.3283027483	-454.4032689944	-1905.580854979
2	1	1	5	19	9.0875	19.1790942506	18.5456477458	18.2593520795	18.5946055509	19.0390201671	-1150.9950268174	-472.3178656227	-1035.4778168898	-467.6514592467	-2007.53158309
2	1	1	5	20	8.9	18.5774037698	18.2017018911	18.0163282497	18.2397739087	18.8318893013	-1101.8848513273	-467.5671425547	-1030.171689754	-463.531384631	-2003.7497544886
2	1	1	5	21	8.2125	18.1270373259	17.9010147465	17.7716130699	17.930557082	18.6156161867	-1130.1084124295	-486.424993261	-1081.9092016122	-481.3597456386	-2104.7891915138
2	1	1	5	22	8.1125	17.8086407313	17.6596605662	17.573285835	17.6810756798	18.4279886803	-1103.9265702887	-484.5418904219	-1071.9718479051	-481.0652587973	-2084.5844782257
2	1	1	5	23	7.9875	17.6117812633	17.5045548773	17.4428436918	17.5231609181	18.3084431473	-1097.1504682494	-482.1031814617	-1072.2701834826	-478.2972531237	-2089.5425047753
2	1	1	5	24	7.425	17.395340545	17.3202981396	17.2703247921	17.3396883984	18.1475680362	-1138.2153715199	-501.9866108524	-1118.3347103595	-497.9502306756	-2174.8110740934
2	1	1	6	1	7.2	17.2385491818	17.1733822576	17.1354505736	17.1903920099	18.0209934517	-1146.2673106114	-508.4674601287	-1129.6870006425	-505.0952000904	-2195.1270487308
2	1	1	6	2	6.8875	17.109184642	17.0508488907	17.017455722	17.0663250282	17.919253476	-1168.18986281	-517.6943081586	-1152.4986751113	-513.9438242478	-2240.2832200072
2	1	1	6	3	6.7	16.9937614431	16.9375687624	16.9082630625	16.9512468557	17.8246175582	-1176.5664627869	-523.418049377	-1162.231891534	-520.1459977873	-2259.2500701675
2	1	1	6	4	6.7	16.9316407576	16.8729233959	16.8507714223	16.8851618108	17.7707135024	-1169.5666940396	-520.8346931686	-1155.9802953124	-517.8469630592	-2248.3963842545
2	1	1	6	5	6.325	16.8476182794	16.7924132897	16.7703290568	16.805388763	17.6976837062	-1204.2144497021	-534.8533468545	-1190.3556299211	-531.2686182662	-2313.0237443092
2	1	1	6	6	6.1	16.7747120554	16.7079994959	16.686183036	16.7182340617	17.6211518846	-1221.7661676486	-543.9109202729	-1207.1946753836	-540.5856101919	-2343.3772077414
2	1	1	6	7	5.7875	16.6894408557	16.6215926189	16.6017363023	16.6338093421	17.5551552483	-1248.6874862846	-554.3766319945	-1233.5436960247	-550.8049259816	-2395.4421394331
2	1	1	6	8	5.225	16.5823931939	16.8590120377	16.5000458435	16.5322006994	17.4529591536	-1301.5525549501	-604.5473152693	-1287.2164468196	-575.85640747	-2492.5661960612
2	1	1	6	9	5.375	16.7880648707	18.8756647597	16.6901095452	16.6735869669	17.4402107959	-1303.8534013251	-717.9447227091	-1289.9886914827	-582.3915966733	-2454.9558954517
2	1	1	6	10	5.9125	17.3207031999	20.6354197727	17.1306165382	17.0647194764	17.5799936874	-1298.7787930989	-773.7670588875	-1275.9575714985	-576.6888099026	-2369.1172826347
2	1	1	6	11	6.475	17.8720056531	20.9424093492	17.6167746604	17.5282487774	17.7816275745	-1296.0374911628	-745.0211926009	-1266.3600613489	-576.1713450267	-2291.045911455
2	1	1	6	12	6.7	18.3022357561	20.4865785674	17.9766134904	17.912598685	17.9641774631	-1317.0880469645	-701.2763582693	-1279.8184739957	-579.7015309524	-2280.6307000823
2	1	1	6	13	7.0125	19.5418812608	20.6445704798	18.3165401624	18.2902784341	18.1538352103	-1412.5907044627	-701.82308219	-1280.1665311742	-579.8053496434	-2250.2518760063
2	1	1	6	14	7.575	20.8746936831	20.2822870099	18.576428788	18.6206266097	18.4218019005	-1501.4616976514	-646.7765493466	-1244.3708783673	-565.8487782223	-2184.9564457524
2	1	1	6	15	8.1125	22.03692981	19.7829996067	18.7145774685	18.9217183763	18.6946579865	-1577.1786759326	-591.778165979	-1198.1670325614	-555.4386410284	-2128.5424413576
2	1	1	6	16	8.3	22.4294114995	19.4473695989	18.7067247393	19.3619594106	18.902639245	-1611.8182147514	-562.4417315443	-1176.212924282	-571.0214082897	-2133.9869296119
2	1	1	6	17	8.3	20.7779101493	18.8877652945	18.3478700101	19.0056931238	18.939654999	-1442.2257706429	-534.7720233426	-1138.3219397012	-534.7918881916	-2143.9982945312
2	1	1	6	18	8.3	19.3840422492	18.4165487065	18.0721461566	18.5007180263	18.8216577901	-1267.6825979293	-510.2167104213	-1105.3493563429	-508.4392041139	-2122.612911203
2	1	1	6	19	8.3	18.6430437113	18.1028766192	17.8883708351	18.1685194572	18.6851830673	-1179.3370126722	-494.2230409663	-1084.7289887946	-491.5103159688	-2096.2608665131
2	1	1	6	20	7.9875	18.1611104234	17.8392758197	17.6952126844	17.8850813407	18.5315464845	-1159.856144809	-497.1774285561	-1099.3389217847	-493.5287507672	-2132.0824544674
2	1	1	6	21	7.1125	17.7495921095	17.5614208971	17.455708954	17.5941508746	18.3180171508	-1214.7944263803	-527.515934999	-1173.8734955383	-522.6696297491	-2272.6842140442
2	1	1	6	22	6.7	17.4440735512	17.3221098287	17.2486406035	17.3454974445	18.121837614	-1227.1428117042	-540.8018087722	-1199.2248231914	-537.0125453947	-2317.4367505819
2	1	1	6	23	8.7625	17.4991316935	17.3824637667	17.3634695716	17.3924224715	18.1937672549	-991.1102492592	-448.1122297114	-975.1868735649	-448.7493777715	-1896.8389493164
2	1	1	6	24	9.3125	17.6066904536	17.5148135188	17.5039461755	17.526009788	18.3110238542	-943.4964643339	-415.6539728399	-927.1185460534	-413.0346001427	-1817.1620777476
2	1	1	7	1	9.2125	17.5646956455	17.4873799322	17.4700048117	17.4992123226	18.2716434498	-949.2126886427	-421.8792926201	-934.9918503972	-419.6040889375	-1827.2426287743
2	1	1	7	2	9.0875	17.5687066357	17.4979470412	17.4834278699	17.5095642421	18.2649891774	-965.1853461907	-427.1500300075	-951.2104528152	-424.2881884331	-1854.5863418348
2	1	1	7	3	7.15	17.3309611588	17.2941243673	17.2513463354	17.3075040206	18.0626981949	-1165.8771598677	-509.7203055491	-1148.8432035719	-503.0402280096	-2221.99952474
2	1	1	7	4	6.475	17.0818112326	17.0397984319	16.9953650112	17.0533642219	17.8559395337	-1213.6320667418	-540.5059323421	-1199.1473053367	-536.8407762306	-2313.7419326475
2	1	1	7	5	7.0125	17.0500912673	16.9847040904	16.9600141183	16.997639595	17.8438871019	-1147.0306397327	-511.6359671652	-1132.9045422333	-509.2121153957	-2198.4370515811
2	1	1	7	6	7.8875	17.1183375172	17.0400787782	17.0346753998	17.0461695398	17.8968272265	-1052.383388138	-471.8533454706	-1040.3450478712	-470.3660645719	-2025.7341210649
2	1	1	7	7	7.9875	18.1153661795	18.0942634054	18.0900725469	18.0856297278	18.6235531494	925.6329554567	460.6260430568	991.5172749376	456.8659382741	308.9572286337
2	1	1	7	8	8.4875	20.9992914315	21.1469393735	21.0750687627	21.1320159381	21.4615258499	6586.4768171298	3189.5600576899	6693.8403892647	3155.6244509674	9496.4931231121
2	1	1	7	9	8.9	21.8407575817	21.8167374047	21.8788540827	21.7928628552	22.1046675441	4985.2194676507	2145.1091469425	5109.7459508063	2178.7708520334	7227.5843924324
2	1	1	7	10	9.5875	22.0302154157	22.1372091756	22.1708956554	22.057189106	22.2661405829	4123.4396968293	1645.9038404151	3977.1217643545	1750.1666876943	5956.851802856
